objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237651800161976470,153.67598,-0.67460004,19.73655,18.7066,18.62854,18.64164,18.64297,19.72595,18.71795,18.6269,18.64579,18.64162,0.0009420697,1.029951,0.07805443,-0.01310158,-0.001327515,STAR
1237648720682352701,153.71476,-0.5181401,18.29531,16.42871,15.71032,15.45128,15.27619,18.52026,16.7338,16.03298,15.81274,15.59186,2.272785e-05,1.866598,0.7183933,0.2590361,0.175087,STAR
1237648720683270838,155.85958,-0.47513018,24.21099,22.75712,21.88184,19.59777,18.34673,24.14341,22.72944,21.87847,19.60798,18.36978,0.0001386708,1.453867,0.8752785,2.284067,1.251047,STAR
1237654669201178809,155.62605,-0.8317055,19.12169,17.87205,17.37057,17.16235,17.06705,19.11598,17.86824,17.369,17.15817,17.07006,0.0007171294,1.249636,0.5014877,0.2082119,0.0953083,STAR
1237651800162893888,155.75661,-0.73005913,16.76308,15.71446,15.41551,15.30359,15.30345,16.73855,15.70967,15.40952,15.30558,15.31441,0.0004349816,1.04862,0.2989511,0.1119232,0.0001373291,STAR
1237651800699502614,155.15432,-0.2506409,17.27659,16.22459,15.9256,15.82798,15.8457,17.27806,16.22623,15.91732,15.82598,15.84695,8.981232e-06,1.052006,0.2989864,0.09762287,-0.01772594,STAR
1237648720683008160,155.16431,-0.43681458,19.38553,17.51723,16.75383,16.49365,16.34751,19.56937,17.76342,17.03741,16.80254,16.67376,8.310878e-06,1.868303,0.763401,0.2601738,0.1461468,STAR
1237651800699633749,155.4388,-0.3182466,21.46815,19.33041,18.30849,17.9549,17.74968,21.4017,19.34123,18.31756,17.97018,17.76145,3.901864e-05,2.137735,1.021921,0.3535976,0.2052193,STAR
1237654668664111232,155.1739,-1.1836469,19.00895,18.63552,18.73546,18.84911,18.95841,19.01953,18.64253,18.73742,18.86146,18.96463,2.591361e-05,0.3734379,-0.09994316,-0.1136513,-0.1093006,STAR
1237654670274592772,154.79795,0.0047906305,18.47774,18.01754,18.21375,18.3853,18.75694,18.48766,18.03738,18.21928,18.3875,18.77503,0.0003305406,0.4602013,-0.1962166,-0.1715412,-0.371645,STAR
1237648720682876959,154.9122,-0.61022366,18.73391,17.76749,17.46031,17.34931,17.32327,18.72571,17.79811,17.45722,17.34475,17.30565,0.0009398519,0.9664192,0.3071728,0.1110077,0.02603149,STAR
1237651800162500707,154.84223,-0.64647973,22.00354,19.56725,18.41507,17.92417,17.71716,21.97263,19.5651,18.42548,17.92702,17.71529,0.0003794937,2.436291,1.152184,0.4908943,0.2070179,STAR
1237651752388788260,155.09146,0.91910251,17.95157,16.72324,16.2934,16.16961,16.14726,17.94639,16.69069,16.29728,16.17856,16.15977,-3.586274e-05,1.228334,0.4298439,0.123785,0.0223465,STAR
1237648721223090261,162.54538,-0.11877666,18.82892,17.84981,17.57683,17.50518,17.46886,18.80372,17.85065,17.5693,17.50067,17.47273,0.0006612261,0.9791145,0.2729797,0.07164955,0.03631401,STAR
1237674650457800895,162.30576,0.067733806,18.98068,17.87114,17.39858,17.19204,17.14327,18.97408,17.87696,17.39689,17.20186,17.14734,0.0006253539,1.109537,0.4725609,0.2065411,0.048769,STAR
1237654669203800171,161.64687,-0.83224627,18.71536,17.66869,17.25989,17.09014,17.06118,18.71936,17.669,17.25145,17.08824,17.06543,0.0007440937,1.046673,0.4087963,0.1697559,0.02895355,STAR
1237654669203734615,161.50096,-0.70700927,17.86169,16.83647,16.48908,16.37526,16.34344,17.87587,16.8742,16.49944,16.37118,16.34638,4.724936e-05,1.025221,0.3473835,0.1138248,0.03182411,STAR
1237648720148889610,161.43971,-0.9741342,23.81289,21.91788,20.58895,18.98911,18.11401,23.82529,21.92816,20.5858,19.00046,18.11279,-3.562616e-05,1.895012,1.328934,1.599834,0.8751049,STAR
1237674648848040157,164.2525,-1.0926065,19.31633,18.34426,18.22374,18.1877,18.17953,19.32924,18.36633,18.24977,18.19137,18.20096,-0.0002485958,0.9720783,0.1205158,0.03603554,0.008174896,STAR
1237674648848105833,164.42196,-1.0564107,22.07827,25.12679,24.57815,23.3674,21.59386,21.91978,25.08541,24.60347,23.2408,21.61614,0.0001160554,-3.048519,0.5486412,1.210751,1.773533,STAR
